onset	duration	stim_type
0.02	12.02	fixation
12.07	1.51	object
14.06	1.51	object
16.06	1.51	object
18.06	1.51	object
18.06	0.0	button_press
20.06	1.51	object
22.07	1.51	object
24.06	12.02	fixation
36.09	1.51	face
38.08	1.53	face
40.09	1.51	face
42.09	1.51	face
44.08	1.51	face
46.09	1.51	face
46.09	0.0	button_press
48.08	12.02	fixation
60.12	1.51	face
62.1	1.53	face
64.11	1.51	face
66.1	1.52	face
68.11	1.53	face
68.98	0.0	button_press
70.11	1.53	face
72.1	12.02	fixation
84.14	1.51	object
86.13	1.51	object
88.13	1.51	object
90.14	1.49	object
92.13	1.51	object
93.0	0.0	button_press
94.14	1.51	object
96.13	12.02	fixation
108.16	1.51	object
110.15	1.51	object
112.16	1.51	object
114.16	1.49	object
114.94	0.0	button_press
116.15	1.51	object
118.16	1.51	object
120.15	12.02	fixation
132.19	1.71	face
134.18	1.51	face
136.18	1.51	face
138.19	1.51	face
140.18	1.51	face
140.77	0.0	button_press
142.18	1.51	face
144.17	12.02	fixation
156.21	1.51	face
158.2	1.51	face
160.2	1.51	face
162.21	1.51	face
162.85	0.0	button_press
164.2	1.51	face
166.21	1.51	face
168.2	12.02	fixation
180.23	1.51	object
182.22	1.51	object
184.23	1.51	object
184.97	0.0	button_press
186.23	1.51	object
188.22	1.51	object
190.23	1.51	object
192.22	12.02	fixation
204.26	1.51	object
206.25	1.51	object
208.25	1.51	object
210.26	1.51	object
210.88	0.0	button_press
212.25	1.51	object
214.25	1.51	object
216.25	12.02	fixation
228.28	1.51	face
230.27	1.51	face
232.28	1.51	face
234.28	1.51	face
236.27	1.51	face
238.28	1.51	face
239.55	0.0	button_press
240.27	12.02	fixation
252.3	1.51	face
254.29	1.51	face
256.3	1.51	face
258.3	1.51	face
260.29	1.51	face
260.29	0.0	button_press
262.3	1.51	face
264.29	12.02	fixation
276.33	1.51	object
278.32	1.51	object
278.97	0.0	button_press
280.32	1.51	object
282.33	1.49	object
284.32	1.51	object
286.32	1.51	object
288.32	12.02	fixation
300.35	1.51	object
302.34	1.51	object
304.35	1.51	object
304.94	0.0	button_press
306.35	1.49	object
308.34	1.51	object
310.35	1.51	object
312.34	12.02	fixation
324.37	1.51	face
326.36	1.51	face
328.37	1.51	face
329.54	0.0	button_press
330.38	1.51	face
332.36	1.51	face
334.37	1.51	face
336.36	12.02	fixation
348.4	1.51	face
350.39	1.51	face
352.39	1.51	face
354.4	1.51	face
355.46	0.0	button_press
356.39	1.51	face
358.39	1.51	face
360.39	12.02	fixation
372.42	1.51	object
374.41	1.51	object
376.42	1.51	object
378.42	1.51	object
380.41	1.51	object
381.14	0.0	button_press
382.42	1.51	object
384.41	12.02	fixation
