onset	duration	stim_type
0.01	12.02	fixation
12.06	1.5	object
14.05	1.53	object
16.05	1.53	object
18.05	1.53	object
18.05	0.0	button_press
20.05	1.53	object
22.05	1.51	object
24.05	12.02	fixation
36.07	1.5	face
38.07	1.5	face
40.07	1.5	face
42.07	1.5	face
44.07	1.5	face
46.07	1.5	face
46.13	0.0	button_press
48.08	12.02	fixation
60.1	1.5	face
62.1	1.5	face
64.1	1.5	face
66.1	1.5	face
68.1	1.5	face
70.1	1.5	face
70.33	0.0	button_press
72.1	12.02	fixation
84.13	1.5	object
86.13	1.51	object
88.13	1.5	object
90.13	1.51	object
92.13	1.5	object
94.13	1.51	object
94.15	0.0	button_press
96.13	12.01	fixation
108.16	1.5	object
110.16	1.5	object
112.16	1.51	object
114.16	1.5	object
116.16	1.51	object
116.16	0.0	button_press
118.16	1.51	object
120.16	12.02	fixation
132.18	1.71	face
134.18	1.5	face
136.18	1.51	face
138.18	1.51	face
140.18	1.5	face
140.22	0.0	button_press
142.18	1.5	face
144.18	12.02	fixation
156.21	1.5	face
158.21	1.5	face
160.21	1.5	face
162.21	1.5	face
164.21	1.5	face
164.23	0.0	button_press
166.21	1.5	face
168.21	12.02	fixation
180.24	1.5	object
182.24	1.5	object
184.24	1.51	object
186.24	1.5	object
186.24	0.0	button_press
188.24	1.51	object
190.24	1.5	object
192.24	12.02	fixation
204.27	1.5	object
206.27	1.5	object
208.27	1.5	object
210.27	1.51	object
212.27	1.5	object
212.27	0.0	button_press
214.27	1.51	object
216.27	12.02	fixation
228.29	1.5	face
230.29	1.5	face
232.29	1.5	face
234.29	1.5	face
236.29	1.5	face
238.29	1.5	face
240.29	12.02	fixation
252.32	1.5	face
254.32	1.51	face
256.32	1.5	face
258.32	1.5	face
260.32	1.5	face
260.34	0.0	button_press
262.32	1.51	face
264.32	12.02	fixation
276.35	1.5	object
278.35	1.5	object
279.41	0.0	button_press
280.35	1.51	object
280.37	0.0	button_press
282.35	1.5	object
284.35	1.5	object
286.35	1.51	object
288.35	12.02	fixation
300.38	1.51	object
302.38	1.5	object
304.38	1.51	object
306.38	1.51	object
306.38	0.0	button_press
308.38	1.5	object
310.38	1.51	object
312.38	12.02	fixation
324.4	1.5	face
326.4	1.5	face
328.4	1.5	face
330.4	1.5	face
330.42	0.0	button_press
332.4	1.5	face
334.4	1.51	face
336.4	12.02	fixation
348.43	1.5	face
350.43	1.5	face
352.43	1.51	face
354.43	1.5	face
356.43	1.5	face
356.43	0.0	button_press
358.43	1.51	face
360.43	12.02	fixation
372.46	1.5	object
374.46	1.5	object
376.46	1.51	object
378.46	1.5	object
380.46	1.5	object
382.46	1.5	object
382.46	0.0	button_press
384.46	12.02	fixation
