onset	duration	stim_type
0.01	12.02	fixation
12.06	1.51	object
14.05	1.51	object
16.05	1.53	object
17.22	0.0	button_press
18.05	1.53	object
20.05	1.53	object
22.05	1.53	object
24.05	12.02	fixation
36.08	1.5	face
38.08	1.5	face
40.08	1.5	face
42.08	1.5	face
44.08	1.51	face
45.22	0.0	button_press
46.08	1.5	face
48.08	12.02	fixation
60.1	1.51	face
62.1	1.5	face
64.1	1.53	face
66.1	1.51	face
68.1	1.5	face
69.15	0.0	button_press
70.1	1.5	face
72.11	12.02	fixation
84.13	1.51	object
86.13	1.5	object
88.13	1.51	object
90.13	1.51	object
92.13	1.5	object
92.9	0.0	button_press
94.13	1.51	object
96.13	12.02	fixation
108.16	1.5	object
110.16	1.51	object
112.16	1.5	object
114.16	1.51	object
116.16	1.51	object
118.16	1.5	object
120.16	12.02	fixation
132.19	1.71	face
134.19	1.5	face
136.19	1.5	face
138.19	1.5	face
139.22	0.0	button_press
140.19	1.5	face
142.19	1.5	face
144.19	12.02	fixation
156.22	1.5	face
158.22	1.53	face
160.22	1.53	face
162.22	1.51	face
163.09	0.0	button_press
164.22	1.51	face
166.22	1.5	face
168.22	12.02	fixation
180.24	1.5	object
182.24	1.5	object
184.24	1.5	object
186.24	1.5	object
186.78	0.0	button_press
188.24	1.51	object
190.24	1.5	object
192.24	12.02	fixation
204.27	1.5	object
206.27	1.51	object
208.27	1.5	object
210.27	1.5	object
210.84	0.0	button_press
212.27	1.5	object
214.27	1.5	object
216.27	12.02	fixation
228.3	1.51	face
230.3	1.5	face
232.3	1.5	face
234.3	1.51	face
236.3	1.5	face
238.3	1.5	face
239.29	0.0	button_press
240.3	12.02	fixation
252.33	1.51	face
254.33	1.5	face
255.58	0.0	button_press
256.33	1.5	face
258.33	1.5	face
259.0	0.0	button_press
260.33	1.51	face
262.33	1.5	face
264.33	12.02	fixation
276.35	1.51	object
278.35	1.51	object
279.15	0.0	button_press
280.35	1.51	object
282.35	1.5	object
284.35	1.51	object
286.35	1.5	object
288.36	12.02	fixation
300.38	1.5	object
302.38	1.51	object
304.38	1.51	object
305.0	0.0	button_press
306.38	1.51	object
308.38	1.51	object
310.38	1.51	object
312.38	12.02	fixation
324.41	1.51	face
326.41	1.5	face
328.41	1.5	face
329.29	0.0	button_press
330.41	1.5	face
332.41	1.5	face
334.41	1.5	face
336.41	12.02	fixation
348.44	1.5	face
350.44	1.5	face
352.44	1.5	face
354.44	1.5	face
355.18	0.0	button_press
356.44	1.5	face
358.44	1.5	face
360.44	12.02	fixation
372.46	1.5	object
374.46	1.51	object
376.46	1.5	object
378.46	1.5	object
380.46	1.51	object
381.23	0.0	button_press
382.46	1.51	object
384.47	12.02	fixation
